iter	Logloss
0	0.6297928738
1	0.5821746029
2	0.5440198034
3	0.518542453
4	0.4978200779
5	0.4827604155
6	0.4704371368
7	0.4603950778
8	0.452544275
9	0.4460531015
10	0.4407965738
11	0.4360173104
12	0.4309810479
13	0.4272222908
14	0.4247002927
15	0.421701843
16	0.4192552084
17	0.4169770705
18	0.4151579165
19	0.4133785497
20	0.4114429782
21	0.4099274223
22	0.4085210254
23	0.4072279143
24	0.4061316319
25	0.4046800077
26	0.4035541778
27	0.4021123443
28	0.401133541
29	0.4003617905
30	0.3997877404
31	0.3990545647
32	0.3984584596
33	0.3976492917
34	0.3966207396
35	0.3961019326
36	0.395630095
37	0.3951792543
38	0.3945297353
39	0.3938468048
40	0.393355145
41	0.3933131968
42	0.3929602605
43	0.392523232
44	0.391961309
45	0.3915204909
46	0.3909514988
47	0.3903224249
48	0.3899505439
49	0.3895471873
50	0.3888248487
51	0.388450172
52	0.3881014998
53	0.387617585
54	0.3872129913
55	0.3866753813
56	0.3864168101
57	0.3860022803
58	0.3853809764
59	0.3849609575
60	0.3845037143
61	0.383862478
62	0.3834811615
63	0.38307529
64	0.3823982997
65	0.3819163107
66	0.3815004284
67	0.3809539438
68	0.3805213268
69	0.3801400195
70	0.3798014309
71	0.3793244157
72	0.3787536169
73	0.3783957212
74	0.3781493556
75	0.3779881505
76	0.3774480108
77	0.3771842131
78	0.3766970569
79	0.3761411303
80	0.3757232344
81	0.3755020493
82	0.3749378227
83	0.3745545863
84	0.374202064
85	0.3738441142
86	0.3735909698
87	0.373350362
88	0.3727091636
89	0.3724292746
90	0.3720869809
91	0.3718271626
92	0.3715172487
93	0.3710944193
94	0.3707990855
95	0.3704523849
96	0.36999822
97	0.3692019688
98	0.3688325647
99	0.3684608505
