iter	Passed	Remaining
0	4	431
1	9	460
2	14	454
3	17	419
4	20	398
5	26	407
6	29	397
7	33	383
8	37	375
9	41	377
10	46	374
11	50	366
12	55	368
13	59	363
14	62	356
15	66	350
16	71	348
17	75	345
18	80	341
19	84	337
20	89	334
21	93	330
22	96	324
23	101	322
24	105	317
25	109	312
26	113	307
27	117	302
28	122	299
29	125	292
30	128	286
31	133	283
32	137	278
33	140	272
34	143	266
35	147	262
36	151	258
37	155	253
38	159	248
39	164	247
40	168	242
41	170	235
42	173	230
43	177	226
44	181	221
45	184	217
46	188	212
47	192	208
48	196	204
49	200	200
50	203	195
51	208	192
52	211	187
53	214	183
54	218	179
55	223	175
56	227	171
57	231	167
58	235	163
59	240	160
60	244	156
61	248	152
62	251	147
63	255	143
64	258	139
65	261	134
66	264	130
67	267	125
68	270	121
69	273	117
70	276	113
71	279	108
72	283	104
73	287	101
74	291	97
75	294	93
76	298	89
77	302	85
78	306	81
79	309	77
80	313	73
81	318	69
82	321	65
83	325	62
84	329	58
85	333	54
86	337	50
87	340	46
88	345	42
89	348	38
90	352	34
91	356	30
92	360	27
93	365	23
94	368	19
95	372	15
96	377	11
97	381	7
98	385	3
99	391	0
